status,state,title,type,voteType,creator_address,creator_username,currency_symbol,currency_address,signers,neededSign,cycle,approves
succeeded,succeeded,TITAN Deployer - $TITAN,classic,multi,0xf2a79C9c6f754B2a538836046CDf135C1B11a44f,stolidslag,TITAN,0xc135a4bbf0d5005f4db3b79b84e8861d22003752,"[{'address': '0xf2a79C9c6f754B2a538836046CDf135C1B11a44f', 'username': 'stolidslag'}, {'address': '0x209a9021993D50Bd767783563C4a9c0cbc601199', 'username': 'ruddyoiler'}, {'address': '0x69Cba612268c4D8452E331534866779174a8E3f2', 'username': 'coytong'}, {'address': '0x0DE8056764Ad8958f34054f11a94ae6CCBf149a0', 'username': 'unsavoryinstallation'}, {'address': '0xce9E7300a6240B273bCC72F96c699B0804F2fd54', 'username': 'punyfather'}, {'address': '0x50e78376E84f4B45285f7d33a145C4849Ed3354d', 'username': 'soothingcandy'}, {'address': '0x5226FB987f338956597B62A8096b8AdA60E543AD', 'username': 'crackingvalise'}, {'address': '0x22E970c8fFFD9303cEaf054eCf9b427112220161', 'username': 'automotivecoloration'}]",8,21,"[{'address': '0x3358B21f8016732e79D588bC2A8D2f4162778F6c', 'username': 'aquaticpsychosis'}, {'address': '0x4fd92919bE71DaA2bFB8114cfE283c6255c66fD0', 'username': 'glamorousbilge'}]"
succeeded,succeeded,Social Proposal,darkMatter,single,0x6f95D33E515C1aBc98dB3516e302b8FE3c20E56E,physicalrepublican,M87,0x80122c6a83c8202ea365233363d3f4837d13e888,"[{'address': '0xf2a79C9c6f754B2a538836046CDf135C1B11a44f', 'username': 'stolidslag'}, {'address': '0x22E970c8fFFD9303cEaf054eCf9b427112220161', 'username': 'automotivecoloration'}, {'address': '0x1B69c4A788aD8f940e624341AB45c731D01190De', 'username': 'highgaze'}]",3,0,[]
succeeded,succeeded,ZIGNALY ($ZIG) ,classic,multi,0x1B69c4A788aD8f940e624341AB45c731D01190De,highgaze,ZIG,0xb2617246d0c6c0087f18703d576831899ca94f01,"[{'address': '0x90c1E0f24B717cc09353e8DF3f6F2A0dE90A0962', 'username': 'fortuitouspenumbra'}, {'address': '0x95506499FdF750671C751C1E4498a870A2cc1Cd7', 'username': 'governingpreface'}, {'address': '0x5c03E7f247d0B809c0fF18764dB1E27b73cb4199', 'username': 'despairingshunt'}, {'address': '0x209a9021993D50Bd767783563C4a9c0cbc601199', 'username': 'ruddyoiler'}, {'address': '0x385Aa6a979e9318d07D9318DfF593d9d51AF6703', 'username': 'regulatedriverbank'}, {'address': '0x5186CA077c4276D879A6057788BA514C676aEd93', 'username': 'darkaugury'}, {'address': '0x1f67B5e48Ec7Bab5b54d08D2fDc3ca0f35630754', 'username': 'unrestrainedexemption'}]",7,1,"[{'address': '0x8B130Dc7A75f24Be64486b03C90CbBc178196c07', 'username': 'geologicalcrucifix'}, {'address': '0xA7ABC5762fE0B05E1d1ff4749df317c4B46254c4', 'username': 'embryonicmiter'}, {'address': '0x8c4b072A239350AA0C73B6D8db5219442b877a6d', 'username': 'associatedburp'}, {'address': '0x01982Eb7e38Da283D363115644d55bea11068472', 'username': 'heartbreakingmillstone'}, {'address': '0x7e47dC1bCFE29640262Edb39BE4663C19BccefC9', 'username': 'fertilizedbreach'}, {'address': '0xe6EcB12EC9a52364f94C8a86aD7274f4b2eDC102', 'username': 'variousrebate'}, {'address': '0xc76E030cB575DDab2A9208782138310F59093382', 'username': 'contemptiblenuisance'}, {'address': '0x3773b87115D0E2E65AD5ca741d78Dd5Db0e224DC', 'username': 'exalteddigression'}, {'address': '0x2a537A9b374D87c0c8b95e18414b48e576EeE902', 'username': 'resonantthrashing'}, {'address': '0x9e5320b6cE24A2b644977a424b1c77560e372087', 'username': 'deferredabscess'}, {'address': '0x97be3550DBEE58d1ddbC8704A038bAA9350f44E1', 'username': 'inexplicablemoral'}, {'address': '0x131520ea37aFD807178774E69DE4E3Ff8E0738F7', 'username': 'pent-uprebel'}, {'address': '0xC105729E5c85DE7df03e55856f371e8E7eCE096A', 'username': 'undevelopedhalloo'}, {'address': '0xCD1EfBAC8e37E92268bA83903026a6C34b3803Db', 'username': 'transientnotary'}, {'address': '0xfFa5Aeba892602A8069c9417A2e95cb0498DdF42', 'username': 'fiercejug'}, {'address': '0xb2890992e7152106f70176adf93a7CFEdB246880', 'username': 'raggedoffence'}, {'address': '0xBF9FE9379CE3BFfa603eD5B42FaeF6e524091044', 'username': 'high-poweredincrease'}, {'address': '0x0DE8056764Ad8958f34054f11a94ae6CCBf149a0', 'username': 'unsavoryinstallation'}, {'address': '0x93CaE41DAc072F62e9A8E191f180F15F3AfA44B6', 'username': 'centre-firesnarl'}]"
failed,failed,PaladinAI,classic,multi,0xe9FFeC8cF81e3c3f3b0ca545A26e8f6d2E9c98fe,full-fledgedhistory,PALAI,0x3cb48aeb3d1abadc23d2d8a6894b3a68338381c2,"[{'address': '0xe9FFeC8cF81e3c3f3b0ca545A26e8f6d2E9c98fe', 'username': 'full-fledgedhistory'}, {'address': '0x1B69c4A788aD8f940e624341AB45c731D01190De', 'username': 'highgaze'}, {'address': '0x50e78376E84f4B45285f7d33a145C4849Ed3354d', 'username': 'soothingcandy'}, {'address': '0xa4444aeC32965BCb4d460BA818FD2FA37b508627', 'username': 'swellingweakness'}, {'address': '0x209a9021993D50Bd767783563C4a9c0cbc601199', 'username': 'ruddyoiler'}, {'address': '0x050BaE1196B718B38a12e5B076592Db9D8E71Ae4', 'username': 'soundrejoinder'}, {'address': '0x60D9e022Ba2338aFB69C2e0FaBd3d4C084B65119', 'username': 'strongbiographer'}]",8,4,[]
failed,failed,Reduce vote duration to 48 hours,dao,multi,0xf2a79C9c6f754B2a538836046CDf135C1B11a44f,stolidslag,M87,0x80122c6a83c8202ea365233363d3f4837d13e888,"[{'address': '0xf2a79C9c6f754B2a538836046CDf135C1B11a44f', 'username': 'stolidslag'}, {'address': '0xa4444aeC32965BCb4d460BA818FD2FA37b508627', 'username': 'swellingweakness'}, {'address': '0x69Cba612268c4D8452E331534866779174a8E3f2', 'username': 'coytong'}, {'address': '0x050BaE1196B718B38a12e5B076592Db9D8E71Ae4', 'username': 'soundrejoinder'}, {'address': '0x60D9e022Ba2338aFB69C2e0FaBd3d4C084B65119', 'username': 'strongbiographer'}, {'address': '0x5E560c3Ce4BC11B26b176da6cD6A16099A649fb1', 'username': 'paradoxicaldroplet'}]",8,5,[]
failed,failed,MOROS ,classic,multi,0x1CC1C54314c7feC2c3020a40a6cD9D1C4A44ED90,allegedmist,MOROS,0xab85fc558d722a2b7c040ffb77db676bd9e7d322,"[{'address': '0x1CC1C54314c7feC2c3020a40a6cD9D1C4A44ED90', 'username': 'allegedmist'}, {'address': '0x1B69c4A788aD8f940e624341AB45c731D01190De', 'username': 'highgaze'}, {'address': '0xbbc96d4A68c19b3f23c96d9311E52d6425D333A6', 'username': 'stupendousecosystem'}, {'address': '0x2c738e7161A072BaD6f5b9a5995D1eAeA5582813', 'username': 'assignedstunner'}, {'address': '0x95506499FdF750671C751C1E4498a870A2cc1Cd7', 'username': 'governingpreface'}, {'address': '0x5B0D8d68ee7C30aE1c183c027Fea8AA808E019dc', 'username': 'archedupheaval'}, {'address': '0x385Aa6a979e9318d07D9318DfF593d9d51AF6703', 'username': 'regulatedriverbank'}]",7,7,[]
succeeded,succeeded,Purchase of  MAZZE,classic,multi,0x50e78376E84f4B45285f7d33a145C4849Ed3354d,soothingcandy,MAZZE,0x4a029f7bcf33acb03547d8fa7be840347973e24e,"[{'address': '0x50e78376E84f4B45285f7d33a145C4849Ed3354d', 'username': 'soothingcandy'}, {'address': '0xf2a79C9c6f754B2a538836046CDf135C1B11a44f', 'username': 'stolidslag'}, {'address': '0x95506499FdF750671C751C1E4498a870A2cc1Cd7', 'username': 'governingpreface'}, {'address': '0xa4444aeC32965BCb4d460BA818FD2FA37b508627', 'username': 'swellingweakness'}, {'address': '0x2c738e7161A072BaD6f5b9a5995D1eAeA5582813', 'username': 'assignedstunner'}, {'address': '0x209a9021993D50Bd767783563C4a9c0cbc601199', 'username': 'ruddyoiler'}, {'address': '0x91672D174190B423186419Df126dE72bc5AF8DD0', 'username': 'waterycrotch'}]",7,9,"[{'address': '0xdF31a736B4C85Dc860194b74bB6201a29855699F', 'username': 'constructivequestion'}, {'address': '0x1CC1C54314c7feC2c3020a40a6cD9D1C4A44ED90', 'username': 'allegedmist'}, {'address': '0xCD1EfBAC8e37E92268bA83903026a6C34b3803Db', 'username': 'transientnotary'}, {'address': '0x8c4b072A239350AA0C73B6D8db5219442b877a6d', 'username': 'associatedburp'}, {'address': '0xBF9FE9379CE3BFfa603eD5B42FaeF6e524091044', 'username': 'high-poweredincrease'}, {'address': '0x2a537A9b374D87c0c8b95e18414b48e576EeE902', 'username': 'resonantthrashing'}]"
failed,deActive,Shorten the Supernova cycle.,dao,multi,0xbbc96d4A68c19b3f23c96d9311E52d6425D333A6,stupendousecosystem,M87,0x80122c6a83c8202ea365233363d3f4837d13e888,"[{'address': '0xbbc96d4A68c19b3f23c96d9311E52d6425D333A6', 'username': 'stupendousecosystem'}]",8,10,[]
failed,deActive,$CODEX 1.74 Eth Classic investment,classic,multi,0x95506499FdF750671C751C1E4498a870A2cc1Cd7,governingpreface,CODEX,0xfd26e39807772251c3bb90fb1fcd9ce5b80c5c24,"[{'address': '0x95506499FdF750671C751C1E4498a870A2cc1Cd7', 'username': 'governingpreface'}]",8,12,[]
succeeded,succeeded,$CODEX Classic investment of 1.74eth,classic,multi,0x95506499FdF750671C751C1E4498a870A2cc1Cd7,governingpreface,CODEX,0xfd26e39807772251c3bb90fb1fcd9ce5b80c5c24,"[{'address': '0x95506499FdF750671C751C1E4498a870A2cc1Cd7', 'username': 'governingpreface'}, {'address': '0x8044683f2e59ecDA78e48a713C2b10d8a1f98d80', 'username': 'ominousscarf'}, {'address': '0x2c738e7161A072BaD6f5b9a5995D1eAeA5582813', 'username': 'assignedstunner'}, {'address': '0x91672D174190B423186419Df126dE72bc5AF8DD0', 'username': 'waterycrotch'}, {'address': '0x5B0D8d68ee7C30aE1c183c027Fea8AA808E019dc', 'username': 'archedupheaval'}, {'address': '0xf2a79C9c6f754B2a538836046CDf135C1B11a44f', 'username': 'stolidslag'}, {'address': '0x385Aa6a979e9318d07D9318DfF593d9d51AF6703', 'username': 'regulatedriverbank'}, {'address': '0x50e78376E84f4B45285f7d33a145C4849Ed3354d', 'username': 'soothingcandy'}]",8,12,"[{'address': '0xF973134ed7330bA26328b570Ddc06ca9f57B9b43', 'username': 'traditionalarchive'}, {'address': '0xB0652EaB67C36F170ab25e422153DDC9297c36bA', 'username': 'cobbledcadet'}, {'address': '0x7F3e00b2094EdfBcDB983cEC3d27290387399B98', 'username': 'materialisticsuperstition'}, {'address': '0x1CC1C54314c7feC2c3020a40a6cD9D1C4A44ED90', 'username': 'allegedmist'}, {'address': '0x1e6108990608600F08A431bbd7b3C3AF45f6e449', 'username': 'plannedinference'}, {'address': '0xf0C1B0109865BdAf4Aa490492FC0590B9E7c96c7', 'username': 'horridforeboding'}]"
